source_system,source_issue_id,canonical_security_id,hk_stock_codes,security_name,valid_from,valid_to,mapping_status,mapping_evidence,mapping_row_count
webb_ccass,29292,webb:issue:29292,09958,LITIAN PICTURES,2020-06-22,,EXACT,webbsite_full.sqlite/shortnames,1
webb_ccass,29295,webb:issue:29295,02057,ZTO EXPRESS-W,2020-09-29,2023-05-02,EXACT,webbsite_full.sqlite/shortnames,2
webb_ccass,29304,webb:issue:29304,03091,A NIKKOAMMETA,2020-06-16,2025-07-24,EXACT,webbsite_full.sqlite/shortnames,2
webb_ccass,29305,webb:issue:29305,09091,A NIKKOAMMETA-U,2020-06-16,2025-07-24,EXACT,webbsite_full.sqlite/shortnames,2
webb_ccass,29339,webb:issue:29339,03896,KINGSOFT CLOUD,2022-12-30,,EXACT,webbsite_full.sqlite/shortnames,1
webb_ccass,29345,webb:issue:29345,06078,HYGEIA HEALTH,2020-06-29,,EXACT,webbsite_full.sqlite/shortnames,1
webb_ccass,29350,webb:issue:29350,09997,KANGJI MEDICAL,2020-06-29,2025-12-10,EXACT,webbsite_full.sqlite/shortnames,1
webb_ccass,29377,webb:issue:29377,01502,FIN STREET PPT,2020-07-06,,EXACT,webbsite_full.sqlite/shortnames,1
webb_ccass,29380,webb:issue:29380,03660,QFIN-S,2022-11-29,2023-04-27,EXACT,webbsite_full.sqlite/shortnames,2
webb_ccass,29394,webb:issue:29394,01971,RSUN SER,2020-07-07,,EXACT,webbsite_full.sqlite/shortnames,1
webb_ccass,29396,webb:issue:29396,09989,HEPALINK,2020-07-08,,EXACT,webbsite_full.sqlite/shortnames,1
webb_ccass,29404,webb:issue:29404,09979,GREENTOWN MGMT,2020-07-10,,EXACT,webbsite_full.sqlite/shortnames,1
webb_ccass,29405,webb:issue:29405,09906,HONLIV HEALTH,2020-07-13,,EXACT,webbsite_full.sqlite/shortnames,1
webb_ccass,29406,webb:issue:29406,08595;08623,CHINA SAFTOWER,2020-07-10,2024-08-14,AMBIGUOUS,webbsite_full.sqlite/shortnames,5
webb_ccass,29407,webb:issue:29407,06978,IMMUNOTECH-B,2020-07-10,,EXACT,webbsite_full.sqlite/shortnames,1
webb_ccass,29408,webb:issue:29408,06969,SMOORE INTL,2020-07-10,,EXACT,webbsite_full.sqlite/shortnames,1
webb_ccass,29409,webb:issue:29409,06958,ZHENRO SERVICES,2020-07-10,,EXACT,webbsite_full.sqlite/shortnames,1
webb_ccass,29410,webb:issue:29410,01477,OCUMENSION-B,2020-07-10,,EXACT,webbsite_full.sqlite/shortnames,1
webb_ccass,29411,webb:issue:29411,01163,ADTIGER CORP,2020-07-10,,EXACT,webbsite_full.sqlite/shortnames,1
webb_ccass,29426,webb:issue:29426,08659,YIK WO INTL,2020-07-13,,EXACT,webbsite_full.sqlite/shortnames,1
webb_ccass,29427,webb:issue:29427,06968,GANGLONG CHINA,2020-07-15,,EXACT,webbsite_full.sqlite/shortnames,1
webb_ccass,29430,webb:issue:29430,09908,JIAXING GAS,2020-07-16,,EXACT,webbsite_full.sqlite/shortnames,1
webb_ccass,29434,webb:issue:29434,09977,FENGXIANG CO,2020-07-16,2025-08-01,EXACT,webbsite_full.sqlite/shortnames,1
webb_ccass,29436,webb:issue:29436,06933,SINO-ENTERTAIN,2020-07-15,,EXACT,webbsite_full.sqlite/shortnames,1
webb_ccass,29439,webb:issue:29439,09986,DASHAN EDU,2020-07-15,,EXACT,webbsite_full.sqlite/shortnames,1
webb_ccass,29444,webb:issue:29444,09990,ARCHOSAUR GAMES,2020-07-15,,EXACT,webbsite_full.sqlite/shortnames,1
webb_ccass,29445,webb:issue:29445,01981,CATHAY GP HLDGS,2020-07-15,2024-06-28,EXACT,webbsite_full.sqlite/shortnames,2
webb_ccass,29446,webb:issue:29446,01156,CHINANEWENERGY,2020-07-15,,EXACT,webbsite_full.sqlite/shortnames,1
webb_ccass,29484,webb:issue:29484,09668,CBHB,2020-07-16,,EXACT,webbsite_full.sqlite/shortnames,1
webb_ccass,29501,webb:issue:29501,00368,SUPERLAND GROUP,2020-07-17,,EXACT,webbsite_full.sqlite/shortnames,1
webb_ccass,29525,webb:issue:29525,03022,ISHARESMSCIEM,2020-07-22,2024-10-15,EXACT,webbsite_full.sqlite/shortnames,1
webb_ccass,29527,webb:issue:29527,09022,ISHARESMSCIEM-U,2020-07-22,2024-10-15,EXACT,webbsite_full.sqlite/shortnames,1
webb_ccass,29534,webb:issue:29534,07333,XICSOPCSI300,2020-07-27,2024-07-24,EXACT,webbsite_full.sqlite/shortnames,1
webb_ccass,29535,webb:issue:29535,07233,XL2CSOPCSI300,2020-07-27,,EXACT,webbsite_full.sqlite/shortnames,1
webb_ccass,29537,webb:issue:29537,07373,XICAMCSI300,2020-07-27,2023-04-17,EXACT,webbsite_full.sqlite/shortnames,2
webb_ccass,29538,webb:issue:29538,07272,XL2CAMCSI300,2020-07-27,2023-04-17,EXACT,webbsite_full.sqlite/shortnames,2
webb_ccass,29547,webb:issue:29547,01449,LEADER EDU,2020-08-06,,EXACT,webbsite_full.sqlite/shortnames,1
webb_ccass,29554,webb:issue:29554,03347,TIGERMED,2020-08-07,,EXACT,webbsite_full.sqlite/shortnames,1
webb_ccass,29556,webb:issue:29556,09913,CHI KAN HLDGS,2020-08-14,,EXACT,webbsite_full.sqlite/shortnames,1
webb_ccass,29568,webb:issue:29568,02807,GX CN ROBO&AI,2020-08-07,,EXACT,webbsite_full.sqlite/shortnames,1
webb_ccass,29569,webb:issue:29569,09807,GX CN ROBO&AI-U,2020-08-07,,EXACT,webbsite_full.sqlite/shortnames,1
webb_ccass,29570,webb:issue:29570,03191,GX CN SEMICON,2020-08-07,,EXACT,webbsite_full.sqlite/shortnames,1
webb_ccass,29571,webb:issue:29571,09191,GX CN SEMICON-U,2020-08-07,,EXACT,webbsite_full.sqlite/shortnames,1
webb_ccass,29644,webb:issue:29644,03033,CSOP HS TECH,2020-08-28,,EXACT,webbsite_full.sqlite/shortnames,1
webb_ccass,29650,webb:issue:29650,09633,NONGFU SPRING,2020-09-08,,EXACT,webbsite_full.sqlite/shortnames,1
webb_ccass,29659,webb:issue:29659,03032,HSTECH ETF,2020-09-04,,EXACT,webbsite_full.sqlite/shortnames,1
webb_ccass,29660,webb:issue:29660,03088,CAM HS TECH,2020-09-03,,EXACT,webbsite_full.sqlite/shortnames,1
webb_ccass,29661,webb:issue:29661,09088,CAM HS TECH-U,2020-09-03,,EXACT,webbsite_full.sqlite/shortnames,1
webb_ccass,29667,webb:issue:29667,01455,FOURACE IND GP,2020-09-15,,EXACT,webbsite_full.sqlite/shortnames,1
webb_ccass,29668,webb:issue:29668,01408,MACAU E&M,2020-09-11,,EXACT,webbsite_full.sqlite/shortnames,1
webb_ccass,29678,webb:issue:29678,02101,FULU HOLDINGS,2020-09-18,,EXACT,webbsite_full.sqlite/shortnames,1
webb_ccass,29679,webb:issue:29679,06988,JOY SPREADER,2020-09-23,,EXACT,webbsite_full.sqlite/shortnames,1
webb_ccass,29691,webb:issue:29691,03067,ISHARESHSTECH,2020-09-17,,EXACT,webbsite_full.sqlite/shortnames,1
webb_ccass,29692,webb:issue:29692,09067,ISHARESHSTECH-U,2020-09-17,,EXACT,webbsite_full.sqlite/shortnames,1
webb_ccass,29720,webb:issue:29720,00909,MING YUAN CLOUD,2020-09-25,,EXACT,webbsite_full.sqlite/shortnames,1
webb_ccass,29721,webb:issue:29721,01429,SKYMISSION GP,2020-09-29,,EXACT,webbsite_full.sqlite/shortnames,1
webb_ccass,29726,webb:issue:29726,09616,NEUTECH GROUP,2020-09-29,2025-01-14,EXACT,webbsite_full.sqlite/shortnames,2
webb_ccass,29752,webb:issue:29752,09626,BILIBILI-W,2021-03-29,2022-10-03,EXACT,webbsite_full.sqlite/shortnames,2
webb_ccass,29764,webb:issue:29764,02115,CM HI-TECH,2020-10-15,2025-01-09,EXACT,webbsite_full.sqlite/shortnames,2
webb_ccass,29770,webb:issue:29770,06998,GENOR-B,2020-10-07,2021-09-20,EXACT,webbsite_full.sqlite/shortnames,2
webb_ccass,29774,webb:issue:29774,03913,KWG LIVING,2020-10-30,,EXACT,webbsite_full.sqlite/shortnames,1
webb_ccass,29779,webb:issue:29779,01952,EVEREST MED,2020-10-09,2025-05-02,EXACT,webbsite_full.sqlite/shortnames,2
webb_ccass,29786,webb:issue:29786,01597,NATURE ENERGY T,2020-10-20,,EXACT,webbsite_full.sqlite/shortnames,1
webb_ccass,29788,webb:issue:29788,09677,WEIHAI BANK,2020-10-12,,EXACT,webbsite_full.sqlite/shortnames,1
webb_ccass,29804,webb:issue:29804,08657,TRUE PARTNER,2020-10-16,,EXACT,webbsite_full.sqlite/shortnames,1
