issue_id,part_id,change_date,absolute_holding,source_rowid,security_name,participant_name,previous_change_date,previous_absolute_holding,next_change_date,next_absolute_holding,forensic_classification,safe_automatic_disposition
5462,131,2012-05-14,-2000,154387105,TRINITY,WIN WONG SECURITIES LTD,2012-05-09,0,2012-05-15,0,ISOLATED_NEGATIVE_BETWEEN_STATES,NONE
6067,428,2010-12-31,-30000,162119889,KAISA CAPITAL,NERICO BROTHERS LTD,2010-10-29,0,2011-01-05,0,ISOLATED_NEGATIVE_BETWEEN_STATES,NONE
6067,95,2010-08-09,-20000,162111080,KAISA CAPITAL,BAN HIN SECURITIES CO LTD,2010-08-02,0,2010-08-10,0,ISOLATED_NEGATIVE_BETWEEN_STATES,NONE
6215,39,2010-10-25,-2000,164441127,DORSETT,SEEKERS MARKETS LTD (IN LIQUIDATION),2010-10-22,0,2010-10-27,2000,ISOLATED_NEGATIVE_BETWEEN_STATES,NONE
63,220,2012-04-19,-18000,6675225,CLP HOLDINGS,WISETRADE SECURITIES LTD,2012-03-29,9500,2012-04-20,9500,ISOLATED_NEGATIVE_BETWEEN_STATES,NONE
63,28,2011-01-13,-3960,6518780,CLP HOLDINGS,PASAY STOCK AND SHARES LTD,2011-01-10,1000,2011-01-17,1000,ISOLATED_NEGATIVE_BETWEEN_STATES,NONE
63,318,2016-06-29,-2000,6730158,CLP HOLDINGS,HENIK SECURITIES LTD,2016-06-17,1000,2016-07-04,1000,ISOLATED_NEGATIVE_BETWEEN_STATES,NONE
7,412,2010-11-16,-1000,886728,WHEELOCK,WELL LINK SECURITIES LTD,2010-11-02,0,2010-11-18,0,ISOLATED_NEGATIVE_BETWEEN_STATES,NONE
7014,144,2011-09-08,-2000,172901024,WINOX,TSE'S SECURITIES LTD,2011-08-18,0,2011-09-09,0,ISOLATED_NEGATIVE_BETWEEN_STATES,NONE
7284,495,2022-09-30,-1,175771984,PERFECT MEDICAL,HONG KONG SECURITIES CLEARING CO. LTD.,,,2022-10-06,0,NEGATIVE_FIRST_OBSERVATION,NONE
7284,83,2012-02-17,-16000,175711844,PERFECT MEDICAL,GET NICE SECURITIES LTD,2012-02-15,80000,2012-02-20,80000,ISOLATED_NEGATIVE_BETWEEN_STATES,NONE
9244,236,2014-08-27,-1130000,177056600,JIANGNAN GP,KINGSWAY FINANCIAL SERVICES GROUP LTD,2014-08-22,4870000,2014-08-28,4870000,ISOLATED_NEGATIVE_BETWEEN_STATES,NONE
975,38,2014-10-08,-18513,32341717,GOLDIN PPT,OKACHI INVESTMENTS (HONG KONG) CO LTD,2014-09-26,2630,2014-10-09,2630,ISOLATED_NEGATIVE_BETWEEN_STATES,NONE
983,150,2010-09-20,-266068000,33238895,SOFTMEDX,KINGSTON SECURITIES LTD,2010-09-15,4932000,2011-09-09,4932000,ISOLATED_NEGATIVE_BETWEEN_STATES,NONE
984,307,2016-06-14,-1490000,33345858,DINGYI GP INV,FIRST SHANGHAI SECURITIES LTD,2016-06-08,1010000,2016-06-17,510000,ISOLATED_NEGATIVE_BETWEEN_STATES,NONE
