source_system,source_participant_id,source_ccass_id,canonical_participant_id,participant_name,valid_from,valid_to,identity_status,mapping_evidence
webb_ccass,51,B01230,ccass:B01230,GAOYU SECURITIES LIMITED,2024-03-27,2007-06-26,CANONICAL_MAPPED,webbsite_full.sqlite/participants
webb_ccass,52,B01231,ccass:B01231,WINNER INTERNATIONAL SECURITIES LTD,2024-09-12,2007-06-26,CANONICAL_MAPPED,webbsite_full.sqlite/participants
webb_ccass,53,B01238,ccass:B01238,TAI YIP STOCK CO LTD,2009-04-20,2007-06-26,CANONICAL_MAPPED,webbsite_full.sqlite/participants
webb_ccass,54,B01240,ccass:B01240,TSUN CHI YUEN SECURITIES CO LTD,2009-04-20,2007-06-26,CANONICAL_MAPPED,webbsite_full.sqlite/participants
webb_ccass,55,B01246,ccass:B01246,ROCTEC SECURITIES CO LTD,2009-04-20,2007-06-26,CANONICAL_MAPPED,webbsite_full.sqlite/participants
webb_ccass,56,B01247,ccass:B01247,KWAI HUNG SECURITIES CO LTD,2009-04-20,2007-06-26,CANONICAL_MAPPED,webbsite_full.sqlite/participants
webb_ccass,57,B01248,ccass:B01248,KWAN YICK SECURITIES (INTERNATIONAL) LTD,2009-04-20,2007-06-26,CANONICAL_MAPPED,webbsite_full.sqlite/participants
webb_ccass,58,B01252,ccass:B01252,CORPORATE BROKERS LTD,2009-04-20,2007-06-26,CANONICAL_MAPPED,webbsite_full.sqlite/participants
webb_ccass,59,B01253,ccass:B01253,STOCKWELL SECURITIES LTD,2009-04-20,2007-06-26,CANONICAL_MAPPED,webbsite_full.sqlite/participants
webb_ccass,60,B01256,ccass:B01256,SINOLINK SECURITIES (HONG KONG) CO LTD,2015-12-28,2007-06-26,CANONICAL_MAPPED,webbsite_full.sqlite/participants
webb_ccass,61,B01258,ccass:B01258,CHINA POINT STOCK BROKERS LTD,2009-04-20,2007-06-26,CANONICAL_MAPPED,webbsite_full.sqlite/participants
webb_ccass,62,B01259,ccass:B01259,FAIR EAGLE SECURITIES CO LTD,2009-04-20,2007-06-26,CANONICAL_MAPPED,webbsite_full.sqlite/participants
webb_ccass,63,B01260,ccass:B01260,LAMTEX SECURITIES LTD,2009-04-20,2007-06-26,CANONICAL_MAPPED,webbsite_full.sqlite/participants
webb_ccass,64,B01264,ccass:B01264,MIB SECURITIES (HONG KONG) LTD,2021-12-10,2007-06-26,CANONICAL_MAPPED,webbsite_full.sqlite/participants
webb_ccass,65,B01265,ccass:B01265,OCBC SECURITIES BROKERAGE (HK) LTD,2023-07-07,2007-06-26,CANONICAL_MAPPED,webbsite_full.sqlite/participants
webb_ccass,66,B01266,ccass:B01266,PRIME CDEX SECURITIES LTD,2022-09-28,2007-06-26,CANONICAL_MAPPED,webbsite_full.sqlite/participants
webb_ccass,67,B01267,ccass:B01267,WINFULL SECURITIES LTD,2009-04-20,2007-06-26,CANONICAL_MAPPED,webbsite_full.sqlite/participants
webb_ccass,68,B01271,ccass:B01271,HANG TAI SECURITIES LTD,2009-04-20,2007-06-26,CANONICAL_MAPPED,webbsite_full.sqlite/participants
webb_ccass,69,B01272,ccass:B01272,FB SECURITIES (HONG KONG) LTD,2009-04-20,2007-06-26,CANONICAL_MAPPED,webbsite_full.sqlite/participants
webb_ccass,70,B01274,ccass:B01274,MORGAN STANLEY HONG KONG SECURITIES LTD,2009-04-20,2007-06-26,CANONICAL_MAPPED,webbsite_full.sqlite/participants
webb_ccass,71,B01275,ccass:B01275,SANFULL SECURITIES LTD,2009-04-20,2007-06-26,CANONICAL_MAPPED,webbsite_full.sqlite/participants
webb_ccass,72,B01276,ccass:B01276,LEHMAN BROTHERS SECURITIES ASIA LTD,2009-04-20,2007-06-26,CANONICAL_MAPPED,webbsite_full.sqlite/participants
webb_ccass,73,B01277,ccass:B01277,BRADBURY SECURITIES LTD,2016-12-19,2007-06-26,CANONICAL_MAPPED,webbsite_full.sqlite/participants
webb_ccass,74,B01280,ccass:B01280,WING FAT SECURITIES LTD,2009-04-20,2007-06-26,CANONICAL_MAPPED,webbsite_full.sqlite/participants
webb_ccass,75,B01282,ccass:B01282,CHELSEA SECURITIES LTD,2009-04-20,2007-06-26,CANONICAL_MAPPED,webbsite_full.sqlite/participants
webb_ccass,76,B01284,ccass:B01284,HANG SENG SECURITIES LTD,2009-04-20,2007-06-26,CANONICAL_MAPPED,webbsite_full.sqlite/participants
webb_ccass,77,B01289,ccass:B01289,SOUTH CHINA SECURITIES LTD,2009-04-20,2007-06-26,CANONICAL_MAPPED,webbsite_full.sqlite/participants
webb_ccass,78,B01290,ccass:B01290,SPS SECURITIES LTD,2009-04-20,2007-06-26,CANONICAL_MAPPED,webbsite_full.sqlite/participants
webb_ccass,79,B01292,ccass:B01292,ALPHA SECURITIES CO LTD,2009-04-20,2007-06-26,CANONICAL_MAPPED,webbsite_full.sqlite/participants
webb_ccass,80,B01294,ccass:B01294,CS WEALTH SECURITIES LTD,2016-04-07,2007-06-26,CANONICAL_MAPPED,webbsite_full.sqlite/participants
webb_ccass,81,B01296,ccass:B01296,MONTGOMERY SECURITIES LTD,2009-04-20,2007-06-26,CANONICAL_MAPPED,webbsite_full.sqlite/participants
webb_ccass,82,B01297,ccass:B01297,ONSHINE SECURITIES LTD,2009-04-20,2007-06-26,CANONICAL_MAPPED,webbsite_full.sqlite/participants
webb_ccass,83,B01298,ccass:B01298,GET NICE SECURITIES LTD,2009-04-20,2007-06-26,CANONICAL_MAPPED,webbsite_full.sqlite/participants
webb_ccass,84,B01299,ccass:B01299,BNP PARIBAS SECURITIES (ASIA) LTD,2009-04-20,2007-06-26,CANONICAL_MAPPED,webbsite_full.sqlite/participants
webb_ccass,85,B01300,ccass:B01300,OCBC SECURITIES (HONG KONG) LTD,2009-04-20,2008-04-28,CANONICAL_MAPPED,webbsite_full.sqlite/participants
webb_ccass,86,B01301,ccass:B01301,PARIBAS ASIA EQUITY LTD,2009-04-20,2007-07-03,CANONICAL_MAPPED,webbsite_full.sqlite/participants
webb_ccass,87,B01308,ccass:B01308,M&F ASSET MANAGEMENT LTD,2022-11-28,2007-06-26,CANONICAL_MAPPED,webbsite_full.sqlite/participants
