issueID,partID,atDate,holding_value,natural_key,preceding_value,following_value,preceding_date,following_date,security_name,security_code_at_source,participant_ccass_id,participant_name,source_db,source_table,source_record_reference,source_sha256,code_version,parser_value,reconstructed_value,raw_matches_parser,raw_matches_reconstruction,parser_generated_negative,reconstruction_generated_negative,source_native_negative,transition_pattern,magnitude,year,same_day_duplicate,disposition
13620,1370,2023-04-14,-1000,13620|1370|2023-04-14,0,0,2023-03-30,2023-04-18,CA CULTURAL,1566,B01986,HUAJIN SECURITIES (INTERNATIONAL) LTD,webbsite_full.sqlite,holdings,holdings:rowid=193536122;issueID=13620;partID=1370;atDate=2023-04-14,9CCDE356D068399BFBC931CA6E367E5944AFCF5C16C83D2FF240636995B0BE7C,bb0d920f0ec2dfb21c9641cc4bedfc6772dc381a,-1000,-1000,YES,YES,NO,NO,YES,ZERO_NEGATIVE_ZERO,1000,2023,NO,FORMAL_QUARANTINE_PENDING_AUTHORITATIVE_SEMANTICS
14145,145,2020-08-20,-100000,14145|145|2020-08-20,0,0,2020-08-11,2020-08-24,CH GREENFRESH,6183,B01428,HIP HING SECURITIES LTD,webbsite_full.sqlite,holdings,holdings:rowid=194507888;issueID=14145;partID=145;atDate=2020-08-20,9CCDE356D068399BFBC931CA6E367E5944AFCF5C16C83D2FF240636995B0BE7C,bb0d920f0ec2dfb21c9641cc4bedfc6772dc381a,-100000,-100000,YES,YES,NO,NO,YES,ZERO_NEGATIVE_ZERO,100000,2020,NO,FORMAL_QUARANTINE_PENDING_AUTHORITATIVE_SEMANTICS
171,184,2011-05-25,-18000,171|184|2011-05-25,3000,3000,2010-11-19,2011-05-31,CROSS-HAR(HOLD),0032,B01494,AUDREY CHOW SECURITIES LTD,webbsite_full.sqlite,holdings,holdings:rowid=10835275;issueID=171;partID=184;atDate=2011-05-25,9CCDE356D068399BFBC931CA6E367E5944AFCF5C16C83D2FF240636995B0BE7C,bb0d920f0ec2dfb21c9641cc4bedfc6772dc381a,-18000,-18000,YES,YES,NO,NO,YES,POSITIVE_NEGATIVE_POSITIVE,18000,2011,NO,FORMAL_QUARANTINE_PENDING_AUTHORITATIVE_SEMANTICS
195,355,2009-06-10,-4000,195|355|2009-06-10,16000,16000,2009-01-09,2009-06-11,CHINA EB LTD,0165,B01751,IMAGI BROKERAGE LTD,webbsite_full.sqlite,holdings,holdings:rowid=12063774;issueID=195;partID=355;atDate=2009-06-10,9CCDE356D068399BFBC931CA6E367E5944AFCF5C16C83D2FF240636995B0BE7C,bb0d920f0ec2dfb21c9641cc4bedfc6772dc381a,-4000,-4000,YES,YES,NO,NO,YES,POSITIVE_NEGATIVE_POSITIVE,4000,2009,NO,FORMAL_QUARANTINE_PENDING_AUTHORITATIVE_SEMANTICS
1997,353,2022-04-22,-100000,1997|353|2022-04-22,0,0,2022-04-12,2022-04-26,LERADO FIN,1225,B01749,TANG KEE SECURITIES LTD,webbsite_full.sqlite,holdings,holdings:rowid=67857086;issueID=1997;partID=353;atDate=2022-04-22,9CCDE356D068399BFBC931CA6E367E5944AFCF5C16C83D2FF240636995B0BE7C,bb0d920f0ec2dfb21c9641cc4bedfc6772dc381a,-100000,-100000,YES,YES,NO,NO,YES,ZERO_NEGATIVE_ZERO,100000,2022,NO,FORMAL_QUARANTINE_PENDING_AUTHORITATIVE_SEMANTICS
20854,179,2017-03-29,-202800000,20854|179|2017-03-29,0,0,2016-10-03,2017-03-30,JIN MI FANG GP,8300,B01489,GRAND CARTEL SECURITIES CO LTD,webbsite_full.sqlite,holdings,holdings:rowid=200096567;issueID=20854;partID=179;atDate=2017-03-29,9CCDE356D068399BFBC931CA6E367E5944AFCF5C16C83D2FF240636995B0BE7C,bb0d920f0ec2dfb21c9641cc4bedfc6772dc381a,-202800000,-202800000,YES,YES,NO,NO,YES,ZERO_NEGATIVE_ZERO,202800000,2017,NO,FORMAL_QUARANTINE_PENDING_AUTHORITATIVE_SEMANTICS
21603,150,2018-07-20,-13000,21603|150|2018-07-20,26000,0,2018-07-13,2018-07-24,CHINARES PHARMA,3320,B01438,KINGSTON SECURITIES LTD,webbsite_full.sqlite,holdings,holdings:rowid=200769098;issueID=21603;partID=150;atDate=2018-07-20,9CCDE356D068399BFBC931CA6E367E5944AFCF5C16C83D2FF240636995B0BE7C,bb0d920f0ec2dfb21c9641cc4bedfc6772dc381a,-13000,-13000,YES,YES,NO,NO,YES,POSITIVE_NEGATIVE_ZERO,13000,2018,NO,FORMAL_QUARANTINE_PENDING_AUTHORITATIVE_SEMANTICS
22501,185,2017-03-30,-10000,22501|185|2017-03-30,0,0,2017-03-22,2017-04-05,DADI EDU,8417,B01497,SINOPAC SECURITIES (ASIA) LTD,webbsite_full.sqlite,holdings,holdings:rowid=202423283;issueID=22501;partID=185;atDate=2017-03-30,9CCDE356D068399BFBC931CA6E367E5944AFCF5C16C83D2FF240636995B0BE7C,bb0d920f0ec2dfb21c9641cc4bedfc6772dc381a,-10000,-10000,YES,YES,NO,NO,YES,ZERO_NEGATIVE_ZERO,10000,2017,NO,FORMAL_QUARANTINE_PENDING_AUTHORITATIVE_SEMANTICS
2280,102,2009-07-13,-3000,2280|102|2009-07-13,5000,-3000,2009-03-09,2009-07-14,TCL ELECTRONICS,1070,B01343,CELETIO INVESTMENTS LTD,webbsite_full.sqlite,holdings,holdings:rowid=69684509;issueID=2280;partID=102;atDate=2009-07-13,9CCDE356D068399BFBC931CA6E367E5944AFCF5C16C83D2FF240636995B0BE7C,bb0d920f0ec2dfb21c9641cc4bedfc6772dc381a,-3000,-3000,YES,YES,NO,NO,YES,NEGATIVE_RUN_START,3000,2009,NO,FORMAL_QUARANTINE_PENDING_AUTHORITATIVE_SEMANTICS
2280,102,2009-07-14,-3000,2280|102|2009-07-14,-3000,1000,2009-07-13,2009-07-15,TCL ELECTRONICS,1070,B01343,CELETIO INVESTMENTS LTD,webbsite_full.sqlite,holdings,holdings:rowid=69684510;issueID=2280;partID=102;atDate=2009-07-14,9CCDE356D068399BFBC931CA6E367E5944AFCF5C16C83D2FF240636995B0BE7C,bb0d920f0ec2dfb21c9641cc4bedfc6772dc381a,-3000,-3000,YES,YES,NO,NO,YES,REPEATED_NEGATIVE_RUN,3000,2009,NO,FORMAL_QUARANTINE_PENDING_AUTHORITATIVE_SEMANTICS
24973,132,2022-07-12,-30000,24973|132|2022-07-12,0,0,2022-07-06,2022-07-14,BRIGHTSTAR TECH,8446,B01410,WINGS SECURITIES (HK) LTD,webbsite_full.sqlite,holdings,holdings:rowid=203717638;issueID=24973;partID=132;atDate=2022-07-12,9CCDE356D068399BFBC931CA6E367E5944AFCF5C16C83D2FF240636995B0BE7C,bb0d920f0ec2dfb21c9641cc4bedfc6772dc381a,-30000,-30000,YES,YES,NO,NO,YES,ZERO_NEGATIVE_ZERO,30000,2022,NO,FORMAL_QUARANTINE_PENDING_AUTHORITATIVE_SEMANTICS
25453,62,2025-04-17,-500,25453|62|2025-04-17,0,0,2025-04-15,2025-04-25,YIXIN,2858,B01259,FAIR EAGLE SECURITIES CO LTD,webbsite_full.sqlite,holdings,holdings:rowid=205974458;issueID=25453;partID=62;atDate=2025-04-17,9CCDE356D068399BFBC931CA6E367E5944AFCF5C16C83D2FF240636995B0BE7C,bb0d920f0ec2dfb21c9641cc4bedfc6772dc381a,-500,-500,YES,YES,NO,NO,YES,ZERO_NEGATIVE_ZERO,500,2025,NO,FORMAL_QUARANTINE_PENDING_AUTHORITATIVE_SEMANTICS
25800,70,2018-03-05,-1295800,25800|70|2018-03-05,29765,29765,2018-03-02,2018-03-06,XINGHUA PORT,1990,B01274,MORGAN STANLEY HONG KONG SECURITIES LTD,webbsite_full.sqlite,holdings,holdings:rowid=206990227;issueID=25800;partID=70;atDate=2018-03-05,9CCDE356D068399BFBC931CA6E367E5944AFCF5C16C83D2FF240636995B0BE7C,bb0d920f0ec2dfb21c9641cc4bedfc6772dc381a,-1295800,-1295800,YES,YES,NO,NO,YES,POSITIVE_NEGATIVE_POSITIVE,1295800,2018,NO,FORMAL_QUARANTINE_PENDING_AUTHORITATIVE_SEMANTICS
26,366,2016-11-09,-653,26|366|2016-11-09,4347,4347,2016-11-03,2016-11-10,HYSAN DEV,0014,B01765,PROMISING SECURITIES CO LTD,webbsite_full.sqlite,holdings,holdings:rowid=2943984;issueID=26;partID=366;atDate=2016-11-09,9CCDE356D068399BFBC931CA6E367E5944AFCF5C16C83D2FF240636995B0BE7C,bb0d920f0ec2dfb21c9641cc4bedfc6772dc381a,-653,-653,YES,YES,NO,NO,YES,POSITIVE_NEGATIVE_POSITIVE,653,2016,NO,FORMAL_QUARANTINE_PENDING_AUTHORITATIVE_SEMANTICS
26467,102,2018-06-06,-5000,26467|102|2018-06-06,0,0,2018-06-04,2018-06-08,NICHE-TECH SEMI,8490,B01343,CELETIO INVESTMENTS LTD,webbsite_full.sqlite,holdings,holdings:rowid=208522025;issueID=26467;partID=102;atDate=2018-06-06,9CCDE356D068399BFBC931CA6E367E5944AFCF5C16C83D2FF240636995B0BE7C,bb0d920f0ec2dfb21c9641cc4bedfc6772dc381a,-5000,-5000,YES,YES,NO,NO,YES,ZERO_NEGATIVE_ZERO,5000,2018,NO,FORMAL_QUARANTINE_PENDING_AUTHORITATIVE_SEMANTICS
2665,366,2010-02-26,-20000,2665|366|2010-02-26,10000,10000,2010-02-23,2010-03-01,CENTURY GINWA,162,B01765,PROMISING SECURITIES CO LTD,webbsite_full.sqlite,holdings,holdings:rowid=76513170;issueID=2665;partID=366;atDate=2010-02-26,9CCDE356D068399BFBC931CA6E367E5944AFCF5C16C83D2FF240636995B0BE7C,bb0d920f0ec2dfb21c9641cc4bedfc6772dc381a,-20000,-20000,YES,YES,NO,NO,YES,POSITIVE_NEGATIVE_POSITIVE,20000,2010,NO,FORMAL_QUARANTINE_PENDING_AUTHORITATIVE_SEMANTICS
26953,155,2022-06-10,-200000,26953|155|2022-06-10,44000,12000,2022-06-07,2022-06-14,SHING CHI HLDGS,1741,B01445,VICTORY SECURITIES CO LTD,webbsite_full.sqlite,holdings,holdings:rowid=211929980;issueID=26953;partID=155;atDate=2022-06-10,9CCDE356D068399BFBC931CA6E367E5944AFCF5C16C83D2FF240636995B0BE7C,bb0d920f0ec2dfb21c9641cc4bedfc6772dc381a,-200000,-200000,YES,YES,NO,NO,YES,POSITIVE_NEGATIVE_POSITIVE,200000,2022,NO,FORMAL_QUARANTINE_PENDING_AUTHORITATIVE_SEMANTICS
2699,77,2009-03-17,-955000,2699|77|2009-03-17,45000,-755000,2009-03-13,2009-03-18,CAPITAL REALM,204,B01289,SOUTH CHINA SECURITIES LTD,webbsite_full.sqlite,holdings,holdings:rowid=76949189;issueID=2699;partID=77;atDate=2009-03-17,9CCDE356D068399BFBC931CA6E367E5944AFCF5C16C83D2FF240636995B0BE7C,bb0d920f0ec2dfb21c9641cc4bedfc6772dc381a,-955000,-955000,YES,YES,NO,NO,YES,NEGATIVE_RUN_START,955000,2009,NO,FORMAL_QUARANTINE_PENDING_AUTHORITATIVE_SEMANTICS
2699,77,2009-03-18,-755000,2699|77|2009-03-18,-955000,245000,2009-03-17,2009-03-19,CAPITAL REALM,204,B01289,SOUTH CHINA SECURITIES LTD,webbsite_full.sqlite,holdings,holdings:rowid=76949190;issueID=2699;partID=77;atDate=2009-03-18,9CCDE356D068399BFBC931CA6E367E5944AFCF5C16C83D2FF240636995B0BE7C,bb0d920f0ec2dfb21c9641cc4bedfc6772dc381a,-755000,-755000,YES,YES,NO,NO,YES,REPEATED_NEGATIVE_RUN,755000,2009,NO,FORMAL_QUARANTINE_PENDING_AUTHORITATIVE_SEMANTICS
27,192,2009-12-01,-13140,27|192|2009-12-01,10860,8860,2009-11-30,2009-12-03,BANK OF E ASIA,0023,B01510,ORIENTAL PATRON SECURITIES LTD,webbsite_full.sqlite,holdings,holdings:rowid=3153973;issueID=27;partID=192;atDate=2009-12-01,9CCDE356D068399BFBC931CA6E367E5944AFCF5C16C83D2FF240636995B0BE7C,bb0d920f0ec2dfb21c9641cc4bedfc6772dc381a,-13140,-13140,YES,YES,NO,NO,YES,POSITIVE_NEGATIVE_POSITIVE,13140,2009,NO,FORMAL_QUARANTINE_PENDING_AUTHORITATIVE_SEMANTICS
2720,298,2011-04-08,-76000,2720|298|2011-04-08,50000,0,2011-03-31,2011-04-12,CITY COOLXU-OLD,8586,B01673,FULBRIGHT SECURITIES LTD,webbsite_full.sqlite,holdings,holdings:rowid=77150241;issueID=2720;partID=298;atDate=2011-04-08,9CCDE356D068399BFBC931CA6E367E5944AFCF5C16C83D2FF240636995B0BE7C,bb0d920f0ec2dfb21c9641cc4bedfc6772dc381a,-76000,-76000,YES,YES,NO,NO,YES,POSITIVE_NEGATIVE_ZERO,76000,2011,NO,FORMAL_QUARANTINE_PENDING_AUTHORITATIVE_SEMANTICS
2747,187,2010-06-17,-400000,2747|187|2010-06-17,968110,868110,2010-06-07,2010-06-21,ETERNITY INV,764,B01501,GOLDRIDE SECURITIES LTD,webbsite_full.sqlite,holdings,holdings:rowid=77995588;issueID=2747;partID=187;atDate=2010-06-17,9CCDE356D068399BFBC931CA6E367E5944AFCF5C16C83D2FF240636995B0BE7C,bb0d920f0ec2dfb21c9641cc4bedfc6772dc381a,-400000,-400000,YES,YES,NO,NO,YES,POSITIVE_NEGATIVE_POSITIVE,400000,2010,NO,FORMAL_QUARANTINE_PENDING_AUTHORITATIVE_SEMANTICS
27922,423,2019-12-23,-1916400,27922|423|2019-12-23,16304400,16083600,2019-12-20,2019-12-24,DUIBA,1753,B01826,GF SECURITIES (HONG KONG) BROKERAGE LTD,webbsite_full.sqlite,holdings,holdings:rowid=214943436;issueID=27922;partID=423;atDate=2019-12-23,9CCDE356D068399BFBC931CA6E367E5944AFCF5C16C83D2FF240636995B0BE7C,bb0d920f0ec2dfb21c9641cc4bedfc6772dc381a,-1916400,-1916400,YES,YES,NO,NO,YES,POSITIVE_NEGATIVE_POSITIVE,1916400,2019,NO,FORMAL_QUARANTINE_PENDING_AUTHORITATIVE_SEMANTICS
27922,423,2019-12-31,-3907200,27922|423|2019-12-31,14092800,14092800,2019-12-30,2020-01-02,DUIBA,1753,B01826,GF SECURITIES (HONG KONG) BROKERAGE LTD,webbsite_full.sqlite,holdings,holdings:rowid=214943440;issueID=27922;partID=423;atDate=2019-12-31,9CCDE356D068399BFBC931CA6E367E5944AFCF5C16C83D2FF240636995B0BE7C,bb0d920f0ec2dfb21c9641cc4bedfc6772dc381a,-3907200,-3907200,YES,YES,NO,NO,YES,POSITIVE_NEGATIVE_POSITIVE,3907200,2019,NO,FORMAL_QUARANTINE_PENDING_AUTHORITATIVE_SEMANTICS
